date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:16	370755/370755	---M--	200	added ('OK')	image/jpeg	etag:%225a843-55a980d00bf11%22	https://www.kkiosk.ch/mcinfo_assets/de/5d4cc0e24fb681d87331c527ea4870496c37ccc8.jpeg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/mcinfo_assets/de/5d4cc0e24fb681d87331c527ea4870496c37ccc8.jpg	(from https://www.kkiosk.ch/de/wettbewerbe/)
15:42:17	458088/458088	---M--	200	added ('OK')	image/jpeg	etag:%226fd68-537080a528700%22	https://www.kkiosk.ch/media/wettbewerbe/header.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/wettbewerbe/header.jpg	(from https://www.kkiosk.ch/de/wettbewerbe/)
15:42:17	14235/14235	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:16%20GMT	https://www.kkiosk.ch/de/contest/detail/?id=386	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/contest/detail/indexd08d.html	(from https://www.kkiosk.ch/de/wettbewerbe/)
15:42:17	18946/18946	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:16%20GMT	https://www.kkiosk.ch/de/app/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/app/index-2.html	(from https://www.kkiosk.ch/de/app/)
15:42:17	290404/290404	---M--	200	added ('OK')	image/jpeg	etag:%2246e64-55a980d02ce55%22	https://www.kkiosk.ch/mcinfo_assets/de/3cb27a241e562b984158960bca942125f38eb653.jpeg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/mcinfo_assets/de/3cb27a241e562b984158960bca942125f38eb653.jpg	(from https://www.kkiosk.ch/de/wettbewerbe/)
15:42:17	5421/5421	---M--	200	added ('OK')	image/png	etag:%22152d-548a62bca4300%22	https://www.kkiosk.ch/media/app/apple-store-badge.png	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/app/apple-store-badge.png	(from https://www.kkiosk.ch/de/app/)
15:42:18	11047/11047	---M--	200	added ('OK')	image/png	etag:%222b27-548a614a9da00%22	https://www.kkiosk.ch/media/app/google-play-badge.png	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/app/google-play-badge.png	(from https://www.kkiosk.ch/de/app/)
15:42:18	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Oct%202017%2022:42:17%20GMT	https://www.kkiosk.ch/de/app/faq	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/app/faq	(from https://www.kkiosk.ch/de/app/)
15:42:19	28972/28972	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:18%20GMT	https://www.kkiosk.ch/de/engagement/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/engagement/index-2.html	(from https://www.kkiosk.ch/de/engagement/)
15:42:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2002%20Oct%202017%2022:42:18%20GMT	https://www.kkiosk.ch/de/app/agb/	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/app/agb/index.html	(from https://www.kkiosk.ch/de/app/)
15:42:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2002%20Oct%202017%2022:42:18%20GMT	https://www.kkiosk.ch/de/app/dse/	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/app/dse/index.html	(from https://www.kkiosk.ch/de/app/)
15:42:19	165729/165729	---M--	200	added ('OK')	image/jpeg	etag:%2228761-55200a9a20ac0%22	https://www.kkiosk.ch/media/app/resize__1000_2396_on_4d9fade2d0a3feceb77ef5e4a8ceea5e_006-cse2017-awardwinners.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/app/resize__1000_2396_on_4d9fade2d0a3feceb77ef5e4a8ceea5e_006-cse2017-awardwinners.jpg	(from https://www.kkiosk.ch/de/app/)
15:42:20	4042/4042	---M-Z	200	added ('OK')	text/css	etag:%22pub1472546361;gz%22	https://www.kkiosk.ch/layout/css/fancybox2.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/fancybox2.css	(from https://www.kkiosk.ch/de/engagement/)
